,NIG019_EW 100.0(Hz) unit:(gal)
596,-5.637788764609143
597,-5.636358253134533
598,-5.642318717612072
599,-5.634450904501721
600,-5.624198905600354
601,-5.631113044394299
602,-5.639934531821057
603,-5.639457694662854
604,-5.635642997397229
605,-5.636596671713635
606,-5.642557136191174
607,-5.640172950400158
608,-5.633974067343518
609,-5.624914161337658
610,-5.634927741659924
611,-5.647087089194104
612,-5.6466102520359005
613,-5.636119834555432
614,-5.629205695761486
615,-5.632066718710705
616,-5.6351661602390255
617,-5.628013602865979
618,-5.633258811606213
619,-5.641603461874768
620,-5.630636207236096
621,-5.628728858603283
622,-5.633735648764416
623,-5.636119834555432
624,-5.639934531821057
625,-5.63588141597633
626,-5.634689323080822
627,-5.64041136897926
628,-5.632305137289807
629,-5.64041136897926
630,-5.631113044394299
631,-5.639696113241955
632,-5.648756019247815
633,-5.6427955547702755
634,-5.627059928549572
635,-5.623960487021252
636,-5.627298347128674
637,-5.631589881552502
638,-5.629444114340588
639,-5.633258811606213
640,-5.62062262691383
641,-5.62825202144508
642,-5.627775184286877
643,-5.636596671713635
644,-5.639219276083752
645,-5.63588141597633
646,-5.629920951498791
647,-5.621576301230236
648,-5.629444114340588
649,-5.63731192745094
650,-5.635404578818127
651,-5.63588141597633
652,-5.632066718710705
653,-5.630636207236096
654,-5.639934531821057
655,-5.645418159140393
656,-5.657339088095471
657,-5.651855460776135
658,-5.6389808575046505
659,-5.630874625815197
660,-5.62968253291969
661,-5.629444114340588
662,-5.630159370077893
663,-5.6351661602390255
664,-5.635404578818127
665,-5.62515257991676
666,-5.61752318538551
667,-5.618238441122815
668,-5.633735648764416
669,-5.631828300131604
670,-5.630636207236096
671,-5.631113044394299
672,-5.640172950400158
